Full Name,unicode
Gael Ondoua,O8HolRPB
Samuel Oum Gouet,pWatozFR
Rigobert Song,29OvJ9jR
Weverton,Ac1mqDdC
Roberto Alvarado,KfqaIjeB
Kevin Alvarez,zR1lei3i
Uriel Antuna,2BfQdCkD
Gerardo Arteaga,St6UdZYg
Luis Chavez,fDwDDZt1
Rodolfo Cota,QNiX7A1E
Rogelio Funes Mori,Sn0dilsD
Henry Martin,KvikV7fo
Gerardo Martino,6gpXy3vi
Czeslaw Michniewicz,foL2ym9N
Carlos Rodriguez,SdWGljLj
Luis Romo,KjqnJo1F
Michal Skoras,zcjxCpYR
Damian Szymanski,IwPbDtfQ
Sebastian Szymanski,QFdaT1Qr
Alexis Vega,v5eJNiH0
Otto Addo,UVAR4Plq
Daniel Afriyie,6B6nUiAm
Lawrence Ati Zigi,MLx41pIf
Agustin Canobbio,rFeX9AIm
Ibrahim Danlad,AmYasmor
Nicolas de la Cruz,tjRTCmJm
Abdul Nurudeen,U7FsCATn
Sergio Rochet,pz4Z0i1g
Jose Rodriguez,CpzZKnHE
