2024-07-21 18:36:45.137 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3995'
2024-07-21 18:36:49.852 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Thomas_Reis'WHERE ID = 3995
2024-07-21 18:36:56.256 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3997'
2024-07-21 18:36:59.449 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Patrick_Osterhage'WHERE ID = 3997
2024-07-21 18:37:03.540 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4001'
2024-07-21 18:37:10.028 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Philipp_F%C3%B6rster'WHERE ID = 4001
2024-07-21 18:37:15.281 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4003'
2024-07-21 18:37:19.915 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Dominique_Heintz'WHERE ID = 4003
2024-07-21 18:37:23.800 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4010'
2024-07-21 18:37:29.335 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Simon_Zoller'WHERE ID = 4010
2024-07-21 18:37:35.840 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4012'
2024-07-21 18:37:39.960 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Gerrit_Holtmann'WHERE ID = 4012
2024-07-21 18:37:44.266 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4013'
2024-07-21 18:37:46.959 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Greek_football_PSAP_awards'WHERE ID = 4013
2024-07-21 18:37:51.787 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4018'
2024-07-21 18:37:55.417 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Tim_Oermann'WHERE ID = 4018
2024-07-21 18:38:00.602 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4019'
2024-07-21 18:38:04.890 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/List_of_Egyptian_football_players_in_foreign_leagues'WHERE ID = 4019
2024-07-21 18:38:09.151 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4021'
2024-07-21 18:38:12.362 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Frank_Kramer'WHERE ID = 4021
2024-07-21 18:38:17.605 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4023'
2024-07-21 18:38:22.585 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/C%C3%A9dric_Brunner'WHERE ID = 4023
2024-07-21 18:38:25.818 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '4024'
